county,FIPS,date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
Queens County NY,36081,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/26,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/27,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,02/28,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,02/29,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,03/01,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,03/02,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,03/03,0.00,0.00,3.00,0.00,0.00,0.00
Queens County NY,36081,03/04,0.00,1.00,3.00,0.00,0.00,0.00
Queens County NY,36081,03/05,0.00,1.00,4.00,0.00,0.00,0.00
Queens County NY,36081,03/06,0.00,1.00,5.00,0.00,0.00,0.00
Queens County NY,36081,03/07,0.00,2.00,6.00,0.00,0.00,0.00
Queens County NY,36081,03/08,0.00,2.00,9.00,0.00,0.00,0.00
Queens County NY,36081,03/09,0.00,3.00,8.00,0.00,0.00,0.00
Queens County NY,36081,03/10,0.00,3.00,10.00,0.00,0.00,1.00
Queens County NY,36081,03/11,0.00,4.00,11.00,0.00,0.00,1.00
Queens County NY,36081,03/12,1.00,4.00,14.00,0.00,0.00,1.00
Queens County NY,36081,03/13,0.00,5.00,13.00,0.00,0.00,1.00
Queens County NY,36081,03/14,1.00,6.00,14.00,0.00,0.00,1.00
Queens County NY,36081,03/15,1.00,6.00,16.00,0.00,0.00,1.00
Queens County NY,36081,03/16,1.00,7.00,18.00,0.00,0.00,2.00
Queens County NY,36081,03/17,1.00,8.00,20.00,0.00,0.00,2.00
Queens County NY,36081,03/18,1.00,8.00,21.00,0.00,0.00,2.00
Queens County NY,36081,03/19,2.00,10.00,22.00,0.00,0.00,2.00
Queens County NY,36081,03/20,2.00,10.00,22.00,0.00,0.00,2.00
Queens County NY,36081,03/21,2.00,11.00,28.00,0.00,0.00,3.00
Queens County NY,36081,03/22,4.00,13.00,26.00,0.00,0.00,3.00
Queens County NY,36081,03/23,3.00,13.00,30.00,0.00,0.00,3.00
Queens County NY,36081,03/24,2.00,14.00,31.00,0.00,1.00,3.00
Queens County NY,36081,03/25,4.00,14.00,31.00,0.00,1.00,3.00
Queens County NY,36081,03/26,4.00,15.00,31.00,0.00,1.00,3.00
Queens County NY,36081,03/27,5.00,15.00,39.00,0.00,1.00,4.00
Queens County NY,36081,03/28,5.00,17.00,40.00,0.00,1.00,4.00
Queens County NY,36081,03/29,6.00,16.00,46.00,0.00,1.00,4.00
Queens County NY,36081,03/30,6.00,17.00,40.00,0.00,1.00,4.00
Queens County NY,36081,03/31,8.00,17.00,43.00,0.00,1.00,5.00
Queens County NY,36081,04/01,5.00,16.00,43.00,0.00,1.00,4.00
Queens County NY,36081,04/02,6.00,18.00,45.00,0.00,1.00,6.00
Queens County NY,36081,04/03,6.00,19.00,43.00,0.00,1.00,5.00
Queens County NY,36081,04/04,7.00,18.00,40.00,0.00,2.00,5.00
Queens County NY,36081,04/05,6.00,17.00,40.00,0.00,1.00,5.00
Queens County NY,36081,04/06,6.00,18.00,39.00,0.00,1.00,5.00
Queens County NY,36081,04/07,6.00,17.00,41.00,0.00,1.00,5.00
Queens County NY,36081,04/08,5.00,16.00,39.00,0.00,1.00,4.00
Queens County NY,36081,04/09,8.00,17.00,45.00,0.00,1.00,5.00
Queens County NY,36081,04/10,8.00,18.00,43.00,0.00,2.00,5.00
Queens County NY,36081,04/11,4.00,19.00,44.00,0.00,2.00,5.00
Queens County NY,36081,04/12,9.00,19.00,44.00,0.00,1.00,4.00
Queens County NY,36081,04/13,6.00,18.00,46.00,0.00,2.00,4.00
Queens County NY,36081,04/14,6.00,18.00,43.00,0.00,2.00,5.00
Queens County NY,36081,04/15,7.00,17.00,43.00,0.00,1.00,5.00
Queens County NY,36081,04/16,5.00,16.00,42.00,0.00,1.00,4.00
Queens County NY,36081,04/17,6.00,17.00,37.00,0.00,1.00,4.00
Queens County NY,36081,04/18,6.00,14.00,36.00,0.00,1.00,4.00
Queens County NY,36081,04/19,4.00,14.00,34.00,0.00,1.00,5.00
Queens County NY,36081,04/20,5.00,14.00,32.00,0.00,1.00,5.00
Queens County NY,36081,04/21,4.00,12.00,32.00,0.00,1.00,4.00
Queens County NY,36081,04/22,4.00,11.00,31.00,0.00,1.00,4.00
Queens County NY,36081,04/23,3.00,12.00,27.00,0.00,1.00,4.00
Queens County NY,36081,04/24,3.00,10.00,25.00,0.00,1.00,3.00
Queens County NY,36081,04/25,3.00,10.00,27.00,0.00,1.00,3.00
Queens County NY,36081,04/26,2.00,8.00,19.00,0.00,1.00,4.00
Queens County NY,36081,04/27,1.00,8.00,20.00,0.00,1.00,4.00
Queens County NY,36081,04/28,2.00,8.00,21.00,0.00,1.00,3.00
Queens County NY,36081,04/29,1.00,7.00,19.00,0.00,1.00,4.00
Queens County NY,36081,04/30,2.00,6.00,17.00,0.00,1.00,3.00
Queens County NY,36081,05/01,2.00,6.00,16.00,0.00,0.00,3.00
Queens County NY,36081,05/02,0.00,6.00,13.00,0.00,0.00,3.00
Queens County NY,36081,05/03,1.00,5.00,13.00,0.00,1.00,4.00
Kings County NY,36047,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/26,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/27,0.00,0.00,1.00,0.00,0.00,0.00
Kings County NY,36047,02/28,0.00,0.00,1.00,0.00,0.00,0.00
Kings County NY,36047,02/29,0.00,0.00,1.00,0.00,0.00,0.00
Kings County NY,36047,03/01,0.00,0.00,1.00,0.00,0.00,0.00
Kings County NY,36047,03/02,0.00,0.00,3.00,0.00,0.00,0.00
Kings County NY,36047,03/03,0.00,1.00,3.00,0.00,0.00,0.00
Kings County NY,36047,03/04,0.00,1.00,5.00,0.00,0.00,0.00
Kings County NY,36047,03/05,0.00,1.00,5.00,0.00,0.00,0.00
Kings County NY,36047,03/06,0.00,2.00,7.00,0.00,0.00,1.00
Kings County NY,36047,03/07,0.00,3.00,9.00,0.00,0.00,1.00
Kings County NY,36047,03/08,0.00,4.00,9.00,0.00,0.00,0.00
Kings County NY,36047,03/09,0.00,4.00,12.00,0.00,0.00,1.00
Kings County NY,36047,03/10,0.00,4.00,10.00,0.00,0.00,1.00
Kings County NY,36047,03/11,1.00,5.00,14.00,0.00,0.00,2.00
Kings County NY,36047,03/12,1.00,6.00,17.00,0.00,0.00,1.00
Kings County NY,36047,03/13,0.00,7.00,18.00,0.00,0.00,1.00
Kings County NY,36047,03/14,2.00,8.00,17.00,0.00,0.00,1.00
Kings County NY,36047,03/15,1.00,9.00,22.00,0.00,0.00,2.00
Kings County NY,36047,03/16,3.00,9.00,24.00,0.00,0.00,2.00
Kings County NY,36047,03/17,2.00,11.00,24.00,0.00,0.00,2.00
Kings County NY,36047,03/18,2.00,11.00,25.00,0.00,0.00,2.00
Kings County NY,36047,03/19,3.00,13.00,27.00,0.00,0.00,2.00
Kings County NY,36047,03/20,4.00,13.00,33.00,0.00,0.00,3.00
Kings County NY,36047,03/21,4.00,12.00,34.00,0.00,0.00,3.00
Kings County NY,36047,03/22,4.00,15.00,35.00,0.00,1.00,3.00
Kings County NY,36047,03/23,4.00,15.00,32.00,0.00,1.00,3.00
Kings County NY,36047,03/24,5.00,15.00,32.00,0.00,1.00,3.00
Kings County NY,36047,03/25,5.00,16.00,36.00,0.00,1.00,3.00
Kings County NY,36047,03/26,4.00,17.00,40.00,0.00,1.00,4.00
Kings County NY,36047,03/27,5.00,16.00,41.00,0.00,1.00,4.00
Kings County NY,36047,03/28,5.00,18.00,38.00,0.00,1.00,4.00
Kings County NY,36047,03/29,4.00,19.00,46.00,0.00,1.00,3.00
Kings County NY,36047,03/30,6.00,18.00,40.00,0.00,1.00,5.00
Kings County NY,36047,03/31,5.00,18.00,42.00,0.00,1.00,6.00
Kings County NY,36047,04/01,7.00,19.00,46.00,0.00,1.00,5.00
Kings County NY,36047,04/02,6.00,20.00,45.00,0.00,1.00,6.00
Kings County NY,36047,04/03,3.00,19.00,38.00,0.00,1.00,4.00
Kings County NY,36047,04/04,6.00,19.00,38.00,0.00,1.00,5.00
Kings County NY,36047,04/05,5.00,16.00,40.00,0.00,1.00,5.00
Kings County NY,36047,04/06,5.00,18.00,38.00,0.00,1.00,8.00
Kings County NY,36047,04/07,5.00,17.00,39.00,0.00,1.00,5.00
Kings County NY,36047,04/08,6.00,15.00,35.00,0.00,1.00,5.00
Kings County NY,36047,04/09,6.00,16.00,36.00,0.00,1.00,4.00
Kings County NY,36047,04/10,6.00,16.00,34.00,0.00,1.00,4.00
