county,FIPS,date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
Queens County NY,36081,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/26,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/27,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,02/28,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,02/29,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,03/01,0.00,0.00,2.00,0.00,0.00,0.00
Queens County NY,36081,03/02,0.00,0.00,3.00,0.00,0.00,0.00
Queens County NY,36081,03/03,0.00,1.00,4.00,0.00,0.00,0.00
Queens County NY,36081,03/04,0.00,3.00,7.00,0.00,0.00,0.00
Queens County NY,36081,03/05,0.00,5.00,10.00,0.00,0.00,0.00
Queens County NY,36081,03/06,1.00,7.00,13.00,0.00,0.00,0.00
Queens County NY,36081,03/07,2.00,10.00,18.00,0.00,0.00,1.00
Queens County NY,36081,03/08,3.00,14.00,27.00,0.00,0.00,1.00
Queens County NY,36081,03/09,4.00,19.00,35.00,0.00,0.00,2.00
Queens County NY,36081,03/10,5.00,23.00,47.00,0.00,0.00,2.00
Queens County NY,36081,03/11,8.00,29.00,56.00,0.00,0.00,2.00
Queens County NY,36081,03/12,10.00,35.00,69.00,0.00,0.00,3.00
Queens County NY,36081,03/13,11.00,43.00,78.00,0.00,0.00,3.00
Queens County NY,36081,03/14,13.00,53.00,101.00,0.00,1.00,4.00
Queens County NY,36081,03/15,15.00,61.00,121.00,0.00,1.00,5.00
Queens County NY,36081,03/16,19.00,72.00,142.00,0.00,2.00,6.00
Queens County NY,36081,03/17,22.00,83.00,164.00,0.00,2.00,6.00
Queens County NY,36081,03/18,25.00,96.00,188.00,0.00,2.00,7.00
Queens County NY,36081,03/19,29.00,111.00,213.00,0.00,3.00,9.00
Queens County NY,36081,03/20,34.00,124.00,239.00,0.00,4.00,10.00
Queens County NY,36081,03/21,36.00,138.00,267.00,0.00,4.00,11.00
Queens County NY,36081,03/22,40.00,153.00,300.00,0.00,5.00,13.00
Queens County NY,36081,03/23,45.00,167.00,331.00,0.00,6.00,13.00
Queens County NY,36081,03/24,54.00,181.00,356.00,0.00,7.00,15.00
Queens County NY,36081,03/25,56.00,200.00,390.00,0.00,8.00,18.00
Queens County NY,36081,03/26,61.00,216.00,426.00,0.00,10.00,19.00
Queens County NY,36081,03/27,67.00,232.00,458.00,2.00,11.00,22.00
Queens County NY,36081,03/28,75.00,250.00,502.00,2.00,12.00,24.00
Queens County NY,36081,03/29,81.00,266.00,536.00,3.00,13.00,28.00
Queens County NY,36081,03/30,83.00,287.00,572.00,3.00,15.00,31.00
Queens County NY,36081,03/31,91.00,305.00,606.00,4.00,17.00,34.00
Queens County NY,36081,04/01,99.00,327.00,639.00,4.00,18.00,38.00
Queens County NY,36081,04/02,106.00,343.00,671.00,5.00,19.00,44.00
Queens County NY,36081,04/03,109.00,363.00,711.00,6.00,21.00,45.00
Queens County NY,36081,04/04,117.00,384.00,747.00,7.00,22.00,47.00
Queens County NY,36081,04/05,123.00,409.00,784.00,8.00,23.00,52.00
Queens County NY,36081,04/06,126.00,424.00,840.00,9.00,25.00,58.00
Queens County NY,36081,04/07,132.00,445.00,887.00,10.00,27.00,60.00
Queens County NY,36081,04/08,135.00,466.00,925.00,10.00,28.00,61.00
Queens County NY,36081,04/09,139.00,489.00,980.00,10.00,29.00,63.00
Queens County NY,36081,04/10,145.00,510.00,1031.00,10.00,31.00,65.00
Queens County NY,36081,04/11,150.00,522.00,1086.00,11.00,32.00,67.00
Queens County NY,36081,04/12,155.00,540.00,1144.00,11.00,33.00,71.00
Queens County NY,36081,04/13,160.00,552.00,1191.00,11.00,35.00,73.00
Queens County NY,36081,04/14,163.00,566.00,1244.00,11.00,36.00,78.00
Queens County NY,36081,04/15,167.00,585.00,1297.00,12.00,38.00,82.00
Queens County NY,36081,04/16,173.00,602.00,1348.00,12.00,39.00,85.00
Queens County NY,36081,04/17,180.00,610.00,1392.00,13.00,40.00,88.00
Queens County NY,36081,04/18,183.00,624.00,1413.00,13.00,41.00,91.00
Queens County NY,36081,04/19,188.00,641.00,1433.00,13.00,41.00,92.00
Queens County NY,36081,04/20,193.00,653.00,1455.00,13.00,42.00,96.00
Queens County NY,36081,04/21,195.00,665.00,1471.00,13.00,43.00,99.00
Queens County NY,36081,04/22,201.00,676.00,1493.00,13.00,43.00,102.00
Queens County NY,36081,04/23,204.00,685.00,1514.00,13.00,44.00,103.00
Queens County NY,36081,04/24,207.00,696.00,1525.00,13.00,45.00,104.00
Queens County NY,36081,04/25,210.00,704.00,1540.00,13.00,45.00,104.00
Queens County NY,36081,04/26,211.00,709.00,1555.00,13.00,46.00,104.00
Queens County NY,36081,04/27,215.00,712.00,1564.00,14.00,46.00,104.00
Queens County NY,36081,04/28,215.00,718.00,1569.00,15.00,47.00,106.00
Queens County NY,36081,04/29,215.00,721.00,1578.00,15.00,47.00,106.00
Queens County NY,36081,04/30,217.00,726.00,1583.00,15.00,48.00,107.00
Queens County NY,36081,05/01,218.00,731.00,1586.00,15.00,49.00,108.00
Queens County NY,36081,05/02,222.00,737.00,1594.00,15.00,49.00,109.00
Queens County NY,36081,05/03,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/04,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/05,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/06,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/07,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/08,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/09,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/10,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/11,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/12,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/13,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/14,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/15,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/16,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/17,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/18,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/19,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/20,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/21,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/22,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/23,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/24,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/25,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/26,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/27,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/28,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/29,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/30,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,05/31,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/01,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/02,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/03,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/04,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/05,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/06,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/07,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/08,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/09,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/10,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/11,222.00,741.00,1602.00,15.00,49.00,110.00
Queens County NY,36081,06/12,222.00,741.00,1602.00,15.00,49.00,110.00
Kings County NY,36047,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/26,0.00,0.00,1.00,0.00,0.00,0.00
Kings County NY,36047,02/27,0.00,0.00,1.00,0.00,0.00,0.00
Kings County NY,36047,02/28,0.00,0.00,2.00,0.00,0.00,0.00
