date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
02/21,0.00,0.00,0.00,0.00,0.00,0.00
02/22,0.00,0.00,2.00,0.00,0.00,0.00
02/23,0.00,1.00,3.00,0.00,0.00,0.00
02/24,0.00,2.00,5.00,0.00,0.00,1.00
02/25,1.00,4.00,9.00,0.00,0.00,1.00
02/26,1.00,6.00,12.00,0.00,0.00,1.00
02/27,3.00,9.00,17.00,0.00,0.00,1.00
02/28,7.00,13.00,26.00,0.00,0.00,1.00
02/29,11.00,19.00,31.00,0.00,0.00,2.00
03/01,14.00,26.00,43.00,0.00,0.00,2.00
03/02,24.00,38.00,55.00,0.00,1.00,3.00
03/03,33.00,48.00,69.00,0.00,1.00,4.00
03/04,48.00,72.00,92.00,0.00,1.00,4.00
03/05,70.00,97.00,125.00,0.00,2.00,5.00
03/06,96.00,127.00,158.00,0.00,3.00,5.00
03/07,131.00,173.00,202.00,0.00,3.00,8.00
03/08,184.00,231.00,277.00,1.00,5.00,10.00
03/09,281.00,329.00,374.00,3.00,6.00,12.00
03/10,417.00,464.00,511.00,2.00,7.00,13.00
03/11,552.00,623.00,665.00,5.00,10.00,18.00
03/12,700.00,783.00,870.00,6.00,13.00,21.00
03/13,884.00,969.00,1069.00,10.00,17.00,27.00
03/14,1072.00,1177.00,1256.00,12.00,22.00,30.00
03/15,1250.00,1379.00,1481.00,19.00,28.00,39.00
03/16,1476.00,1599.00,1752.00,26.00,35.00,49.00
03/17,1721.00,1870.00,2054.00,30.00,43.00,56.00
03/18,1983.00,2159.00,2348.00,37.00,53.00,74.00
03/19,2277.00,2452.00,2637.00,48.00,63.00,78.00
03/20,2549.00,2766.00,2995.00,58.00,77.00,95.00
03/21,2837.00,3086.00,3347.00,73.00,91.00,121.00
03/22,3115.00,3410.00,3680.00,79.00,108.00,132.00
03/23,3403.00,3744.00,4025.00,103.00,127.00,149.00
03/24,3763.00,4048.00,4364.00,121.00,145.00,176.00
03/25,4031.00,4359.00,4743.00,136.00,170.00,198.00
03/26,4250.00,4665.00,5119.00,165.00,192.00,228.00
03/27,4543.00,4940.00,5385.00,190.00,217.00,252.00
03/28,4757.00,5228.00,5781.00,207.00,247.00,287.00
03/29,4927.00,5463.00,6073.00,240.00,276.00,324.00
03/30,5201.00,5770.00,6473.00,271.00,309.00,364.00
03/31,5437.00,6120.00,6779.00,293.00,341.00,400.00
04/01,5614.00,6450.00,7198.00,322.00,372.00,442.00
04/02,5924.00,6762.00,7619.00,359.00,411.00,493.00
04/03,6303.00,7216.00,8240.00,382.00,448.00,528.00
04/04,6647.00,7704.00,8761.00,415.00,481.00,572.00
04/05,6969.00,8204.00,9273.00,428.00,523.00,639.00
04/06,7446.00,8677.00,9829.00,466.00,556.00,675.00
04/07,7883.00,9255.00,10770.00,498.00,600.00,716.00
04/08,8284.00,9757.00,11515.00,546.00,630.00,756.00
04/09,8566.00,10221.00,12048.00,562.00,676.00,808.00
04/10,8689.00,10537.00,12642.00,594.00,701.00,849.00
04/11,9042.00,10882.00,12963.00,612.00,741.00,914.00
04/12,9112.00,11242.00,13289.00,618.00,773.00,919.00
04/13,9228.00,11657.00,13831.00,651.00,805.00,965.00
04/14,9671.00,12387.00,14725.00,683.00,838.00,1006.00
04/15,10141.00,13180.00,15828.00,678.00,859.00,1033.00
04/16,10543.00,14048.00,16870.00,715.00,887.00,1049.00
04/17,11072.00,14925.00,18156.00,703.00,918.00,1105.00
04/18,11597.00,15628.00,18809.00,714.00,933.00,1142.00
04/19,11653.00,15959.00,19511.00,742.00,945.00,1173.00
04/20,11719.00,16148.00,19809.00,763.00,968.00,1167.00
04/21,11751.00,16271.00,19889.00,751.00,972.00,1237.00
04/22,11747.00,16152.00,20025.00,749.00,988.00,1208.00
04/23,11693.00,16042.00,19832.00,748.00,994.00,1252.00
04/24,11793.00,16054.00,19381.00,764.00,1004.00,1250.00
04/25,11555.00,15755.00,19453.00,767.00,993.00,1270.00
04/26,11444.00,15656.00,19392.00,767.00,1025.00,1235.00
04/27,11485.00,15457.00,19376.00,747.00,1015.00,1269.00
04/28,11511.00,15604.00,19210.00,770.00,1042.00,1256.00
04/29,11623.00,15668.00,19240.00,800.00,1025.00,1312.00
04/30,11490.00,15995.00,19556.00,791.00,1039.00,1317.00
05/01,11885.00,16208.00,19897.00,788.00,1051.00,1328.00
05/02,12004.00,16693.00,20309.00,802.00,1095.00,1370.00
05/03,12316.00,17371.00,21403.00,787.00,1110.00,1387.00
