date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
02/21,0.00,0.00,0.00,0.00,0.00,0.00
02/22,0.00,0.00,2.00,0.00,0.00,0.00
02/23,0.00,1.00,6.00,0.00,0.00,0.00
02/24,1.00,5.00,9.00,0.00,0.00,1.00
02/25,3.00,10.00,18.00,0.00,0.00,1.00
02/26,10.00,17.00,27.00,0.00,0.00,2.00
02/27,16.00,29.00,45.00,0.00,0.00,3.00
02/28,29.00,48.00,70.00,0.00,1.00,3.00
02/29,46.00,69.00,97.00,0.00,1.00,4.00
03/01,69.00,102.00,136.00,0.00,2.00,5.00
03/02,102.00,147.00,187.00,0.00,3.00,6.00
03/03,150.00,205.00,262.00,1.00,4.00,9.00
03/04,220.00,283.00,357.00,2.00,6.00,13.00
03/05,297.00,390.00,482.00,3.00,8.00,15.00
03/06,410.00,523.00,627.00,4.00,11.00,18.00
03/07,555.00,693.00,820.00,5.00,14.00,23.00
03/08,720.00,913.00,1053.00,9.00,19.00,29.00
03/09,961.00,1203.00,1364.00,14.00,24.00,35.00
03/10,1336.00,1607.00,1784.00,19.00,31.00,42.00
03/11,1820.00,2164.00,2360.00,27.00,40.00,55.00
03/12,2512.00,2883.00,3132.00,36.00,51.00,69.00
03/13,3332.00,3808.00,4113.00,45.00,64.00,86.00
03/14,4405.00,4926.00,5350.00,60.00,81.00,107.00
03/15,5677.00,6289.00,6853.00,79.00,102.00,130.00
03/16,7062.00,7869.00,8609.00,102.00,130.00,156.00
03/17,8729.00,9709.00,10599.00,128.00,162.00,201.00
03/18,10646.00,11887.00,13034.00,165.00,204.00,255.00
03/19,12867.00,14372.00,15804.00,215.00,255.00,315.00
03/20,15414.00,17151.00,18909.00,264.00,323.00,381.00
03/21,18308.00,20228.00,22309.00,335.00,397.00,466.00
03/22,21529.00,23651.00,25938.00,415.00,485.00,563.00
03/23,24792.00,27354.00,29822.00,505.00,592.00,682.00
03/24,28289.00,31317.00,34246.00,610.00,714.00,828.00
03/25,32206.00,35877.00,39026.00,741.00,864.00,1007.00
03/26,36689.00,40526.00,44178.00,880.00,1034.00,1198.00
03/27,41340.00,45473.00,49570.00,1064.00,1230.00,1429.00
03/28,46479.00,50521.00,55015.00,1263.00,1447.00,1677.00
03/29,51632.00,55745.00,60399.00,1484.00,1705.00,1923.00
03/30,56833.00,61128.00,66025.00,1755.00,1998.00,2210.00
03/31,62218.00,66739.00,71854.00,2056.00,2312.00,2529.00
04/01,67643.00,72412.00,77715.00,2387.00,2669.00,2934.00
04/02,73014.00,78267.00,83765.00,2736.00,3048.00,3345.00
04/03,78290.00,84203.00,89937.00,3110.00,3462.00,3797.00
04/04,83745.00,90633.00,96387.00,3573.00,3914.00,4242.00
04/05,89224.00,97049.00,103277.00,3989.00,4412.00,4782.00
04/06,94951.00,103420.00,110322.00,4495.00,4926.00,5331.00
04/07,101114.00,110171.00,117484.00,5015.00,5494.00,5921.00
04/08,107645.00,117311.00,125272.00,5599.00,6072.00,6581.00
04/09,114817.00,125069.00,133591.00,6183.00,6725.00,7284.00
04/10,122444.00,133218.00,142871.00,6817.00,7409.00,8019.00
04/11,130579.00,141788.00,152900.00,7450.00,8125.00,8850.00
04/12,138855.00,151011.00,163135.00,8099.00,8888.00,9684.00
04/13,147045.00,160927.00,173629.00,8772.00,9679.00,10551.00
04/14,155419.00,170874.00,184844.00,9553.00,10514.00,11464.00
04/15,164439.00,181285.00,196457.00,10336.00,11384.00,12443.00
04/16,174187.00,192060.00,208411.00,11096.00,12274.00,13454.00
04/17,184413.00,203611.00,222129.00,11918.00,13150.00,14456.00
04/18,195312.00,215943.00,236514.00,12810.00,14095.00,15580.00
04/19,206672.00,228916.00,251771.00,13621.00,15066.00,16650.00
04/20,218329.00,242256.00,267461.00,14472.00,16021.00,17804.00
04/21,230401.00,256408.00,283664.00,15368.00,16995.00,18886.00
04/22,242938.00,270619.00,301324.00,16274.00,17976.00,20101.00
04/23,255548.00,285445.00,319627.00,17164.00,18976.00,21297.00
04/24,266874.00,300520.00,338454.00,17976.00,19990.00,22465.00
04/25,277873.00,315682.00,357527.00,18795.00,21039.00,23711.00
04/26,290088.00,330479.00,376892.00,19669.00,22116.00,24969.00
04/27,303002.00,345532.00,396166.00,20506.00,23119.00,26172.00
04/28,315674.00,360923.00,415173.00,21331.00,24153.00,27441.00
04/29,327315.00,376560.00,434225.00,22168.00,25188.00,28698.00
04/30,339825.00,392636.00,453379.00,22956.00,26230.00,29994.00
05/01,353136.00,407620.00,472042.00,23750.00,27278.00,31260.00
05/02,365376.00,422914.00,490773.00,24592.00,28354.00,32531.00
05/03,377205.00,438409.00,509241.00,25497.00,29410.00,33794.00
