county,FIPS,cumulativecase,cumulativedeath
Queens County NY,36081,53585,5286
Kings County NY,36047,46775,5511
Cook County IL,17031,42501,1777
Bronx County NY,36005,38850,3685
Nassau County NY,36059,36748,1770
Suffolk County NY,36103,34834,1258
Westchester County NY,36119,29839,1086
Los Angeles County CA,6037,25691,1223
New York County NY,36061,22720,2256
Wayne County MI,26163,17317,1869
Bergen County NJ,34003,16207,1208
Hudson County NJ,34017,15807,844
Middlesex County MA,25017,15330,976
Essex County NJ,34013,14527,1279
Suffolk County MA,25025,13730,588
Passaic County NJ,34031,13369,626
Union County NJ,34039,13229,733
Philadelphia County PA,42101,13121,425
Miami-Dade County FL,12086,12742,367
Middlesex County NJ,34023,12636,637
Richmond County NY,36085,12176,784
Rockland County NY,36087,12007,410
Fairfield County CT,9001,11738,884
Essex County MA,25009,9491,496
Orange County NY,36071,8933,252
New Haven County CT,9009,7983,574
Oakland County MI,26125,7490,748
Prince George's County MD,24033,7328,262
Providence County RI,44007,7016,132
Ocean County NJ,34029,6868,443
Harris County TX,48201,6695,129
Orleans Parish LA,22071,6533,441
King County WA,53033,6455,458
Jefferson Parish LA,22051,6378,371
Monmouth County NJ,34025,6299,380
Norfolk County MA,25021,6270,551
Worcester County MA,25027,6227,314
Marion County IN,18097,6164,355
Hartford County CT,9003,6052,752
Macomb County MI,26099,5745,625
Morris County NJ,34027,5537,449
Plymouth County MA,25023,5490,323
Broward County FL,12011,5293,206
Montgomery County MD,24031,5172,272
District of Columbia DC,11001,5043,257
Maricopa County AZ,4013,4550,170
Montgomery County PA,42091,4547,383
Mercer County NJ,34021,4517,252
Fairfax County VA,51059,4388,189
Clark County NV,32003,4208,215
Riverside County CA,6065,4157,159
Lake County IL,17097,4153,146
Delaware County PA,42045,4101,250
Hampden County MA,25013,4054,400
Bristol County MA,25005,4012,200
Camden County NJ,34007,3999,162
San Diego County CA,6073,3910,138
Dallas County TX,48113,3897,111
Somerset County NJ,34035,3713,295
Erie County NY,36029,3708,235
DuPage County IL,17043,3612,189
Denver County CO,8031,3343,166
St. Louis County MO,29189,3321,174
Baltimore County MD,24005,3284,168
Bucks County PA,42017,3278,237
Milwaukee County WI,55079,3242,195
Palm Beach County FL,12099,3134,196
Dutchess County NY,36027,3083,75
Burlington County NJ,34005,3061,149
Fulton County GA,13121,2984,122
Franklin County OH,39049,2938,80
Lehigh County PA,42077,2918,82
Davidson County TN,47037,2907,28
Berks County PA,42011,2891,118
Shelby County TN,47157,2838,54
Will County IL,17197,2832,161
Orange County CA,6059,2745,51
Salt Lake County UT,49035,2712,31
Arapahoe County CO,8005,2710,157
Snohomish County WA,53061,2502,109
Tarrant County TX,48439,2494,71
Sussex County DE,10005,2473,69
Marion County OH,39101,2335,4
Baltimore city MD,24510,2321,121
Cuyahoga County OH,39035,2320,123
Luzerne County PA,42079,2237,95
Santa Clara County CA,6085,2229,113
Northampton County PA,42095,2198,94
DeKalb County GA,13089,2167,51
San Bernardino County CA,6071,2159,96
Hennepin County MN,27053,2158,278
Minnehaha County SD,46099,2137,16
East Baton Rouge Parish LA,22033,2075,154
Prince William County VA,51153,2029,30
Lake County IN,18089,2029,94
Gwinnett County GA,13135,1959,58
Anne Arundel County MD,24003,1959,88
Kane County IL,17089,1937,58
Lancaster County PA,42071,1919,110
New Castle County DE,10003,1904,78
Weld County CO,8123,1873,104
Kent County MI,26081,1784,40
Adams County CO,8001,1776,68
Cobb County GA,13067,1750,97
Alameda County CA,6001,1741,63
Pickaway County OH,39129,1731,22
Mecklenburg County NC,37119,1716,49
Travis County TX,48453,1716,50
Genesee County MI,26049,1632,195
Hall County GA,13139,1629,23
San Francisco County CA,6075,1615,29
Caddo Parish LA,22017,1606,115
Bexar County TX,48029,1587,48
Monroe County NY,36055,1558,86
Dougherty County GA,13095,1535,125
Chester County PA,42029,1501,115
Polk County IA,19153,1460,40
Orange County FL,12095,1435,36
Jefferson County KY,21111,1420,96
Jefferson County CO,8059,1408,83
Pierce County WA,53053,1386,51
Gloucester County NJ,34015,1386,51
Lucas County OH,39095,1380,119
Hamilton County OH,39061,1370,80
Brown County WI,55009,1354,6
Allegheny County PA,42003,1350,101
Ulster County NY,36111,1336,28
Pima County AZ,4019,1324,86
Cass County IN,18017,1314,2
St. Tammany Parish LA,22103,1309,113
Black Hawk County IA,19013,1304,16
Yakima County WA,53077,1281,47
Hall County NE,31079,1272,29
Hillsborough County FL,12057,1269,28
Albany County NY,36001,1253,36
Trousdale County TN,47169,1239,1
St. Louis city MO,29510,1235,57
San Mateo County CA,6081,1221,51
Mobile County AL,1097,1182,62
Monroe County PA,42089,1168,55
Fort Bend County TX,48157,1142,27
McKinley County NM,35031,1136,21
Lee County FL,12071,1124,46
Sacramento County CA,6067,1115,42
Washtenaw County MI,26161,1114,70
Arlington County VA,51013,1113,46
Hillsborough County NH,33011,1111,42
Utah County UT,49049,1081,8
Woodbury County IA,19193,1075,2
Atlantic County NJ,34001,1071,48
Duval County FL,12031,1043,24
Litchfield County CT,9005,1029,92
Putnam County NY,36079,1012,45
Kern County CA,6029,1007,8
Frederick County MD,24021,1002,60
Lackawanna County PA,42069,999,87
El Paso County CO,8041,988,80
El Paso County TX,48141,982,22
Sussex County NJ,34037,971,114
Jefferson County AL,1073,971,48
Howard County MD,24027,970,20
Washoe County NV,32031,961,32
Richland County SC,45079,959,40
Warren County NJ,34041,955,94
Onondaga County NY,36067,954,35
Henrico County VA,51087,954,106
Jackson County MO,29095,946,29
Mahoning County OH,39099,945,83
Nobles County MN,27105,944,1
Sullivan County NY,36105,941,16
Contra Costa County CA,6013,940,28
Barnstable County MA,25001,937,47
Loudoun County VA,51107,931,16
Bernalillo County NM,35001,915,40
Alexandria city VA,51510,902,25
Cumberland County NJ,34011,884,16
Dakota County NE,31043,871,2
Douglas County NE,31055,869,18
Wake County NC,37183,865,19
Rockingham County NH,33015,857,28
