date,dailycase,dailydeath
02/21,3,0
02/22,1,0
02/23,0,0
02/24,0,0
02/25,1,0
02/26,1,0
02/27,2,0
02/28,5,0
02/29,6,0
03/01,13,2
03/02,16,2
03/03,25,3
03/04,40,2
03/05,50,3
03/06,80,3
03/07,97,4
03/08,168,4
03/09,218,4
03/10,278,5
03/11,325,4
03/12,414,6
03/13,565,7
03/14,623,9
03/15,753,15
03/16,1095,17
03/17,1823,24
03/18,3135,29
03/19,4173,38
03/20,5640,47
03/21,6398,69
03/22,8048,106
03/23,8975,150
03/24,11324,197
03/25,13423,234
03/26,15602,291
03/27,17421,380
03/28,17932,382
03/29,19414,411
03/30,20628,479
03/31,22934,715
04/01,25397,873
04/02,29486,974
04/03,32375,1090
04/04,31504,1261
04/05,29629,1334
04/06,29121,1553
04/07,31567,1718
04/08,32804,1903
04/09,33376,2004
04/10,32601,1932
04/11,30355,1859
04/12,27432,1287
04/13,25837,2451
04/14,26963,2762
04/15,29600,3289
04/16,31298,2111
04/17,30430,1729
04/18,28097,1979
04/19,26544,2021
04/20,25736,2438
04/21,26741,2135
04/22,28389,2140
04/23,32394,2172
04/24,34071,2223
04/25,32067,1968
04/26,27271,1518
04/27,24147,1538
04/28,25017,2143
04/29,27032,2387
04/30,30091,2228
05/01,30667,1851
05/02,29266,1563
05/03,24723,1231
