county,FIPS,date,Re_2.5,Re_50,Re_97.5
Queens County NY,36081,03/15,2.39,2.81,3.26
Queens County NY,36081,03/16,2.43,2.82,3.16
Queens County NY,36081,03/17,2.23,2.57,2.83
Queens County NY,36081,03/18,2.47,2.78,3.12
Queens County NY,36081,03/19,2.06,2.38,2.66
Queens County NY,36081,03/20,2.24,2.55,2.83
Queens County NY,36081,03/21,1.91,2.13,2.40
Queens County NY,36081,03/22,2.28,2.48,2.72
Queens County NY,36081,03/23,1.78,2.01,2.25
Queens County NY,36081,03/24,1.97,2.19,2.42
Queens County NY,36081,03/25,1.57,1.73,1.96
Queens County NY,36081,03/26,1.94,2.10,2.27
Queens County NY,36081,03/27,1.75,1.91,2.09
Queens County NY,36081,03/28,1.79,1.98,2.20
Queens County NY,36081,03/29,1.39,1.53,1.72
Queens County NY,36081,03/30,1.33,1.51,1.75
Queens County NY,36081,03/31,1.20,1.37,1.66
Queens County NY,36081,04/01,1.34,1.49,1.69
Queens County NY,36081,04/02,1.13,1.35,1.62
Queens County NY,36081,04/03,0.98,1.12,1.43
Queens County NY,36081,04/04,0.88,1.06,1.34
Queens County NY,36081,04/05,0.78,0.91,1.14
Queens County NY,36081,04/06,0.76,0.96,1.13
Queens County NY,36081,04/07,0.70,0.84,1.02
Queens County NY,36081,04/08,0.60,0.70,0.92
Queens County NY,36081,04/09,0.50,0.56,0.77
Queens County NY,36081,04/10,0.44,0.51,0.71
Queens County NY,36081,04/11,0.40,0.46,0.66
Queens County NY,36081,04/12,0.35,0.42,0.61
Queens County NY,36081,04/13,0.37,0.47,0.57
Queens County NY,36081,04/14,0.37,0.50,0.60
Queens County NY,36081,04/15,0.39,0.56,0.64
Queens County NY,36081,04/16,0.39,0.59,0.68
Queens County NY,36081,04/17,0.45,0.66,0.76
Queens County NY,36081,04/18,0.48,0.73,0.84
Queens County NY,36081,04/19,0.52,0.81,0.91
Queens County NY,36081,04/20,0.58,0.82,0.93
Queens County NY,36081,04/21,0.55,0.71,0.87
Queens County NY,36081,04/22,0.51,0.62,0.81
Queens County NY,36081,04/23,0.45,0.51,0.73
Queens County NY,36081,04/24,0.37,0.43,0.66
Queens County NY,36081,04/25,0.33,0.41,0.59
Queens County NY,36081,04/26,0.32,0.38,0.58
Queens County NY,36081,04/27,0.29,0.34,0.53
Queens County NY,36081,04/28,0.27,0.31,0.50
Queens County NY,36081,04/29,0.25,0.30,0.47
Queens County NY,36081,04/30,0.23,0.28,0.44
Queens County NY,36081,05/01,0.22,0.26,0.40
Queens County NY,36081,05/02,0.20,0.24,0.39
Queens County NY,36081,05/03,0.20,0.23,0.36
Kings County NY,36047,03/15,2.16,2.47,2.86
Kings County NY,36047,03/16,2.23,2.61,3.01
