county,03/15,03/29,04/12,04/26,05/03
Queens County NY,3.07,1.31,0.19,0.19,0.26
Kings County NY,2.65,1.13,0.22,0.08,0.07
Cook County IL,2.62,1.66,1.00,1.06,0.85
Bronx County NY,3.26,1.30,0.22,0.16,0.16
Nassau County NY,2.44,1.23,0.39,0.53,0.57
Suffolk County NY,2.91,1.49,0.66,0.66,0.47
Westchester County NY,2.93,1.11,0.80,0.44,0.37
Los Angeles County CA,2.95,1.48,1.39,0.86,1.12
New York County NY,2.07,1.32,0.35,0.30,0.44
Wayne County MI,3.50,1.32,0.19,0.17,0.24
Bergen County NJ,3.00,1.38,0.42,0.22,0.17
Hudson County NJ,3.56,1.90,0.59,0.17,0.12
Middlesex County MA,3.19,2.01,0.92,0.30,0.37
Essex County NJ,3.89,1.84,0.42,0.17,0.18
Suffolk County MA,4.28,2.00,0.86,0.26,0.17
Passaic County NJ,3.88,1.73,0.92,0.32,0.15
Union County NJ,4.16,1.83,0.69,0.12,0.11
Philadelphia County PA,4.18,1.87,0.60,1.03,0.65
Miami-Dade County FL,3.08,1.57,0.70,0.77,1.38
Middlesex County NJ,3.44,2.01,0.78,0.61,0.32
Richmond County NY,2.76,1.60,0.38,0.12,0.12
Rockland County NY,3.52,1.19,0.37,0.38,0.33
Fairfield County CT,2.97,1.76,0.99,0.20,0.20
Essex County MA,3.61,2.11,0.88,0.71,0.61
Orange County NY,3.53,1.59,0.48,0.68,0.63
New Haven County CT,3.16,2.58,0.60,0.30,0.51
Oakland County MI,3.05,1.38,0.25,0.20,0.23
Prince George's County MD,2.90,3.06,0.88,1.09,0.70
Providence County RI,3.23,2.54,1.13,0.34,0.44
Ocean County NJ,4.26,1.40,0.80,0.61,0.58
Harris County TX,3.15,2.86,0.43,0.71,1.92
Orleans Parish LA,2.03,1.23,0.09,0.10,0.10
King County WA,1.56,0.86,0.67,0.76,1.12
Jefferson Parish LA,2.83,1.42,0.11,0.05,0.05
Monmouth County NJ,3.59,1.64,0.47,0.85,1.00
Worcester County MA,3.41,1.99,1.04,0.95,0.76
Norfolk County MA,3.62,2.25,0.64,0.37,0.30
Marion County IN,4.49,1.57,0.75,1.28,0.69
Hartford County CT,3.03,2.76,0.64,0.24,0.36
Macomb County MI,3.12,1.70,0.34,0.23,0.24
Morris County NJ,3.52,1.73,0.47,0.28,0.31
Plymouth County MA,3.62,2.06,1.01,0.42,0.39
Broward County FL,2.80,1.22,0.74,0.48,0.81
Montgomery County MD,2.89,2.58,0.83,1.26,0.92
District of Columbia DC,3.08,2.32,0.82,1.07,1.16
Maricopa County AZ,3.82,1.25,1.08,1.41,0.95
Montgomery County PA,3.29,2.16,0.62,0.69,0.98
Mercer County NJ,3.03,2.63,0.75,0.90,0.79
Fairfax County VA,3.19,2.33,1.28,1.12,1.31
Clark County NV,3.13,1.29,0.97,0.64,1.05
Riverside County CA,2.60,2.15,0.67,0.42,0.81
Lake County IL,3.24,2.02,0.84,1.30,1.05
Delaware County PA,3.83,2.51,0.75,0.92,1.03
Hampden County MA,3.39,2.11,0.73,0.54,0.72
Bristol County MA,3.32,2.04,0.87,0.74,0.73
Camden County NJ,3.71,2.62,0.86,1.02,0.97
San Diego County CA,3.25,1.16,0.95,1.09,0.95
Dallas County TX,3.28,1.35,0.84,2.04,1.37
Erie County NY,3.35,1.50,0.94,0.91,0.52
Somerset County NJ,3.24,2.29,0.57,0.56,0.44
DuPage County IL,2.77,1.92,0.87,1.12,1.08
Denver County CO,3.28,0.82,1.43,0.95,0.50
St. Louis County MO,4.49,1.79,0.56,1.11,0.80
Baltimore County MD,3.29,2.61,0.78,0.98,0.80
Bucks County PA,3.10,2.18,0.96,0.86,0.87
Milwaukee County WI,2.68,1.33,0.68,1.56,1.33
Palm Beach County FL,2.97,1.28,0.83,0.95,1.63
Dutchess County NY,2.37,1.71,0.43,1.00,0.95
Burlington County NJ,2.90,2.55,1.00,0.80,0.55
Fulton County GA,3.08,1.30,0.68,0.94,1.23
Lehigh County PA,3.39,2.64,0.36,0.41,0.65
Franklin County OH,3.49,1.56,0.89,1.67,0.87
Davidson County TN,2.40,1.42,1.31,0.83,0.78
Berks County PA,2.71,3.28,0.73,0.19,0.27
Will County IL,2.92,2.16,0.54,1.88,0.89
Shelby County TN,3.39,1.28,0.66,1.12,1.06
Orange County CA,3.29,1.20,0.89,1.43,1.19
Salt Lake County UT,2.96,1.62,0.96,1.09,1.23
Arapahoe County CO,2.76,1.79,1.02,0.63,0.95
Snohomish County WA,1.45,0.42,0.54,1.28,1.05
Tarrant County TX,3.24,1.98,0.75,1.09,1.59
Sussex County DE,2.45,2.37,1.32,0.57,0.72
Cuyahoga County OH,2.85,0.83,1.25,1.07,1.23
Marion County OH,2.35,2.08,1.89,0.04,0.01
Baltimore city MD,3.86,2.30,0.67,0.47,1.04
Luzerne County PA,2.84,3.03,0.35,0.36,0.43
Santa Clara County CA,1.34,0.42,0.70,1.05,0.84
Northampton County PA,3.30,2.14,0.51,0.96,0.67
San Bernardino County CA,2.18,2.38,1.14,0.75,1.51
DeKalb County GA,3.20,1.37,0.70,0.55,0.98
Hennepin County MN,2.95,1.68,0.75,1.03,2.65
Minnehaha County SD,2.34,3.06,0.92,0.17,0.24
East Baton Rouge Parish LA,3.00,2.29,0.31,0.37,0.71
Lake County IN,3.02,2.33,0.73,0.98,0.91
Prince William County VA,3.01,2.66,1.38,1.11,1.42
Gwinnett County GA,3.20,1.80,0.90,1.19,0.73
Anne Arundel County MD,3.02,2.39,0.77,1.04,1.27
Lancaster County PA,2.93,2.57,0.74,0.57,0.85
Kane County IL,3.10,2.02,1.67,1.34,1.41
New Castle County DE,3.09,2.56,0.70,0.96,1.51
Weld County CO,2.21,1.95,0.94,0.58,0.41
Kent County MI,2.77,2.01,1.97,0.73,0.59
Adams County CO,2.57,1.91,1.00,1.05,0.91
Cobb County GA,2.91,1.47,0.76,0.70,1.19
Alameda County CA,2.52,1.48,0.94,0.62,1.17
Pickaway County OH,2.16,2.02,2.18,0.23,0.24
Mecklenburg County NC,3.49,1.18,0.37,0.45,0.58
Travis County TX,2.87,1.78,0.68,1.05,1.34
Hall County GA,2.71,2.59,1.28,0.84,0.38
Genesee County MI,2.82,2.03,0.45,0.24,0.24
Caddo Parish LA,3.13,2.23,0.36,0.31,0.32
San Francisco County CA,3.58,0.99,0.82,0.72,1.10
Bexar County TX,3.42,2.16,0.55,0.92,1.44
Monroe County NY,2.76,1.29,0.75,0.99,1.32
Dougherty County GA,2.51,1.57,0.28,0.08,0.07
Chester County PA,3.03,2.23,0.89,0.85,1.12
Polk County IA,2.88,2.06,2.11,1.45,0.56
Orange County FL,3.32,1.09,0.50,0.30,0.27
Jefferson County CO,2.77,1.34,0.85,0.65,0.84
Jefferson County KY,3.38,1.95,1.59,0.54,0.60
Pierce County WA,2.26,1.67,0.52,0.34,0.45
Gloucester County NJ,3.00,2.49,0.87,0.96,0.66
Hamilton County OH,3.30,2.32,0.78,1.13,0.83
Lucas County OH,3.37,2.53,1.01,0.84,1.09
Brown County WI,2.79,2.47,2.72,0.92,0.36
Allegheny County PA,3.17,1.43,0.46,0.70,0.90
Trousdale County TN,1.95,1.73,1.55,0.63,0.11
Ulster County NY,2.34,1.85,0.72,0.48,0.31
Pima County AZ,2.44,2.15,0.92,0.56,0.94
