county,FIPS,date,Re_2.5,Re_50,Re_97.5
Queens County NY,36081,03/15,3.90,4.39,5.13
Queens County NY,36081,03/16,3.65,4.08,4.79
Queens County NY,36081,03/17,3.37,3.77,4.36
Queens County NY,36081,03/18,3.10,3.53,4.00
Queens County NY,36081,03/19,2.80,3.30,3.81
Queens County NY,36081,03/20,2.74,3.26,3.78
Queens County NY,36081,03/21,2.57,3.03,3.44
Queens County NY,36081,03/22,2.54,3.05,3.56
Queens County NY,36081,03/23,2.22,2.64,3.08
Queens County NY,36081,03/24,2.18,2.66,3.03
Queens County NY,36081,03/25,1.95,2.36,2.68
Queens County NY,36081,03/26,1.78,2.15,2.53
Queens County NY,36081,03/27,1.57,1.81,2.14
Queens County NY,36081,03/28,1.58,1.85,2.17
Queens County NY,36081,03/29,1.57,1.86,2.17
Queens County NY,36081,03/30,1.42,1.70,2.01
Queens County NY,36081,03/31,1.31,1.57,1.89
Queens County NY,36081,04/01,1.09,1.21,1.42
Queens County NY,36081,04/02,1.07,1.18,1.40
Queens County NY,36081,04/03,1.07,1.19,1.41
Queens County NY,36081,04/04,1.05,1.17,1.40
Queens County NY,36081,04/05,1.01,1.14,1.39
Queens County NY,36081,04/06,0.98,1.12,1.37
Queens County NY,36081,04/07,0.94,1.07,1.34
Queens County NY,36081,04/08,0.88,1.01,1.26
Queens County NY,36081,04/09,0.77,0.92,1.14
Queens County NY,36081,04/10,0.69,0.84,1.04
Queens County NY,36081,04/11,0.60,0.71,0.92
Queens County NY,36081,04/12,0.54,0.67,0.83
Queens County NY,36081,04/13,0.51,0.64,0.82
Queens County NY,36081,04/14,0.49,0.62,0.79
Queens County NY,36081,04/15,0.45,0.58,0.74
Queens County NY,36081,04/16,0.44,0.58,0.71
Queens County NY,36081,04/17,0.44,0.59,0.72
Queens County NY,36081,04/18,0.43,0.61,0.73
Queens County NY,36081,04/19,0.45,0.61,0.74
Queens County NY,36081,04/20,0.44,0.64,0.76
Queens County NY,36081,04/21,0.45,0.65,0.77
Queens County NY,36081,04/22,0.47,0.67,0.79
Queens County NY,36081,04/23,0.48,0.67,0.78
Queens County NY,36081,04/24,0.45,0.61,0.73
Queens County NY,36081,04/25,0.43,0.60,0.73
Queens County NY,36081,04/26,0.41,0.57,0.69
Queens County NY,36081,04/27,0.40,0.53,0.66
Queens County NY,36081,04/28,0.38,0.48,0.63
Queens County NY,36081,04/29,0.35,0.43,0.59
Queens County NY,36081,04/30,0.32,0.38,0.56
Queens County NY,36081,05/01,0.29,0.33,0.51
Queens County NY,36081,05/02,0.26,0.31,0.48
Queens County NY,36081,05/03,0.25,0.29,0.44
Kings County NY,36047,03/15,3.50,4.05,4.60
Kings County NY,36047,03/16,3.37,3.86,4.44
Kings County NY,36047,03/17,3.29,3.78,4.32
Kings County NY,36047,03/18,3.19,3.69,4.19
Kings County NY,36047,03/19,3.10,3.58,4.09
Kings County NY,36047,03/20,3.09,3.57,4.14
Kings County NY,36047,03/21,2.81,3.21,3.63
Kings County NY,36047,03/22,2.67,3.07,3.56
Kings County NY,36047,03/23,2.28,2.58,3.01
Kings County NY,36047,03/24,2.30,2.60,3.05
Kings County NY,36047,03/25,2.19,2.46,2.90
Kings County NY,36047,03/26,2.04,2.32,2.70
Kings County NY,36047,03/27,1.83,2.09,2.46
Kings County NY,36047,03/28,1.75,2.02,2.40
Kings County NY,36047,03/29,1.63,1.91,2.32
Kings County NY,36047,03/30,1.41,1.62,2.01
Kings County NY,36047,03/31,1.29,1.50,1.83
Kings County NY,36047,04/01,1.08,1.26,1.58
Kings County NY,36047,04/02,1.06,1.24,1.48
Kings County NY,36047,04/03,1.06,1.23,1.48
Kings County NY,36047,04/04,1.00,1.19,1.45
Kings County NY,36047,04/05,1.00,1.22,1.42
Kings County NY,36047,04/06,1.03,1.24,1.47
Kings County NY,36047,04/07,1.06,1.28,1.48
Kings County NY,36047,04/08,1.03,1.24,1.45
Kings County NY,36047,04/09,0.90,1.10,1.31
Kings County NY,36047,04/10,0.82,0.98,1.16
Kings County NY,36047,04/11,0.68,0.77,0.94
